contract_id,tj_id,team_id,contract_type,contract_years,contract_dollars,aa_options,aaa_options,arb_rate
25_con_50,cristophersanchez,10,contract,1,1.5,,False,
25_con_51,zackgelof,5,contract,1,3.25,,False,
25_con_52,daultonvarsho,5,contract,1,2.0,,False,
25_con_53,yainerdiaz,5,contract,1,2.0,,False,
25_con_54,iananderson,5,contract,1,1.0,,False,
25_con_55,stevenkwan,4,contract,1,3.0,,False,
25_con_56,ozziealbies,4,contract,1,4.85,,False,
25_con_57,shoheiohtani,4,contract,1,30.5,,False,
25_con_58,zacgallen,4,contract,1,7.0,,False,
25_con_59,joeryan,6,contract,1,5.5,,False,
25_con_60,freddiefreeman,6,contract,1,12.1,,False,
25_con_61,robbieray,6,contract,1,2.0,,False,
25_con_62,gerritcole,6,contract,1,2.2,,False,
25_con_63,luisrobertjr,19,contract,1,1.0,,False,
25_con_64,bryanwoo,8,contract,1,4.5,,False,
25_con_65,josesoriano,8,contract,1,1.0,,False,
25_con_66,grantholmes,8,contract,1,1.0,,False,
25_con_67,masonmiller,8,contract,1,1.0,,False,
25_con_68,bobichette,19,contract,1,4.0,,False,
25_con_69,randyarozarena,19,contract,1,2.8,,False,
25_con_70,reynaldolopez,19,contract,1,2.01,,False,
25_con_71,jonathanindia,5,contract,1,4.0,,False,
25_con_72,marcussemien,2,contract,1,4.55,,False,
25_con_73,jamesoutman,2,contract,1,2.7,,False,
25_con_74,walkerbuehler,4,contract,1,1.69,,False,
25_con_75,louisvarland,4,contract,1,1.0,,False,
25_con_76,joeybart,4,contract,1,1.0,,False,
25_con_77,reeseolson,7,contract,1,1.0,,False,
25_con_78,rangersuarez,20,contract,1,1.69,,False,
25_con_79,junghoolee,20,contract,1,1.0,,False,
25_con_80,devinwilliams,20,contract,1,2.3,,False,
25_con_81,christophermorel,20,contract,1,2.0,,False,
25_con_82,coleragans,9,contract,1,5.45,,False,
25_con_83,clayholmes,9,contract,1,3.4,,False,
25_con_84,gleybertorres,9,contract,1,1.5,,False,
25_con_85,kebryanhayes,9,contract,1,1.5,,False,
25_con_86,michaeltoglia,9,contract,1,1.5,,False,
25_aaa_1,davidpeterson,3,aaa_opt,1,0.0,,True,
25_aaa_2,gavinlux,3,aaa_opt,1,0.0,,True,
25_aaa_3,ivanherrera,3,aaa_opt,1,0.0,,True,
25_aaa_4,andrewabbott,3,aaa_opt,1,0.0,,True,
25_aaa_5,michaellorenzen,3,aaa_opt,1,0.0,,True,
25_aaa_6,jpcrawford,1,aaa_opt,1,0.0,,True,
25_aaa_7,jasonadam,1,aaa_opt,1,0.0,,True,
25_aaa_8,javierbaez,1,aaa_opt,1,0.0,,True,
25_aaa_9,michaelconforto,1,aaa_opt,1,0.0,,True,
25_aaa_10,nolangorman,1,aaa_opt,1,0.0,,True,
25_aaa_11,alejandrokirk,10,aaa_opt,1,0.0,,True,
25_aaa_12,camilodoval,10,aaa_opt,1,0.0,,True,
25_aaa_13,joeboyle,10,aaa_opt,1,0.0,,True,
25_aaa_14,joshsmith,10,aaa_opt,1,0.0,,True,
25_aaa_15,zacklittell,10,aaa_opt,1,0.0,,True,
25_aaa_16,andrewvaughn,5,aaa_opt,1,0.0,,True,
25_aaa_17,jakeirvin,5,aaa_opt,1,0.0,,True,
25_aaa_18,jakerogers,5,aaa_opt,1,0.0,,True,
25_aaa_19,lukeweaver,5,aaa_opt,1,0.0,,True,
25_aaa_20,andrepallante,5,aaa_opt,1,0.0,,True,
25_aaa_21,austingomber,5,aaa_opt,1,0.0,,True,
25_aaa_22,chadgreen,5,aaa_opt,1,0.0,,True,
25_aaa_23,josecaballero,5,aaa_opt,1,0.0,,True,
25_aaa_24,treysweeney,5,aaa_opt,1,0.0,,True,
25_aaa_25,heliotramos,8,aaa_opt,1,0.0,,True,
25_aaa_26,ottolopez,8,aaa_opt,1,0.0,,True,
25_aaa_27,ryanjeffers,8,aaa_opt,1,0.0,,True,
25_aaa_28,davismartin,8,aaa_opt,1,0.0,,True,
25_aaa_29,haydenwesneski,8,aaa_opt,1,0.0,,True,
25_aaa_30,michaelmcgreevy,8,aaa_opt,1,0.0,,True,
