tj_id,c,1b,2b,ss,3b,of,util,sp,rp
merrillkelly,False,False,False,False,False,False,False,True,False
ceddannerafaela,False,False,True,False,False,True,True,False,False
shanemcclanahan,False,False,False,False,False,False,False,True,False
junghoolee,False,False,False,False,False,True,True,False,False
garrettwhitlock,False,False,False,False,False,False,False,False,True
shanebaz,False,False,False,False,False,False,False,True,False
xavieredwards,False,False,True,True,False,False,True,False,False
treyyesavage,False,False,False,False,False,False,False,True,False
zachneto,False,False,False,True,False,False,True,False,False
jordanleasure,False,False,False,False,False,False,False,False,True
dansbyswanson,False,False,False,True,False,False,True,False,False
jakobmarsee,False,False,False,False,False,True,True,False,False
mattshaw,False,False,False,False,True,False,True,False,False
lukeweaver,False,False,False,False,False,False,False,False,True
andrewkittredge,False,False,False,False,False,False,False,False,True
troymelton,False,False,False,False,False,False,False,False,True
krisbubic,False,False,False,False,False,False,False,True,False
alejandrokirk,True,False,False,False,False,False,True,False,False
kerrycarpenter,False,False,False,False,False,True,True,False,False
kylefinnegan,False,False,False,False,False,False,False,False,True
noahcameron,False,False,False,False,False,False,False,True,False
philmaton,False,False,False,False,False,False,False,False,True
marcellozuna,False,False,False,False,False,False,True,False,False
mattstrahm,False,False,False,False,False,False,False,False,True
cadehorton,False,False,False,False,False,False,False,True,False
miguelvargas,False,True,False,False,True,False,True,False,False
edwardcabrera,False,False,False,False,False,False,False,True,False
camilodoval,False,False,False,False,False,False,False,False,True
jorgepolanco,False,False,True,False,False,False,True,False,False
daultonvarsho,False,False,False,False,False,True,True,False,False
noelvimarte,False,False,False,False,True,True,True,False,False
adrianmorejon,False,False,False,False,False,False,False,False,True
bubbachandler,False,False,False,False,False,False,False,True,False
stevenmatz,False,False,False,False,False,False,False,False,True
daylenlile,False,False,False,False,False,True,True,False,False
wilyerabreu,False,False,False,False,False,True,True,False,False
heliotramos,False,False,False,False,False,True,True,False,False
joseferrer,False,False,False,False,False,False,False,False,True
connellyearly,False,False,False,False,False,False,False,True,False
bradkeller,False,False,False,False,False,False,False,False,True
josesoriano,False,False,False,False,False,False,False,True,False
lawrencebutler,False,False,False,False,False,True,True,False,False
jakecronenworth,False,False,True,False,False,False,True,False,False
carlosrodon,False,False,False,False,False,False,False,True,False
jojoromero,False,False,False,False,False,False,False,False,True
spencertorkelson,False,True,False,False,False,False,True,False,False
garrettcleavinger,False,False,False,False,False,False,False,False,True
nolanarenado,False,False,False,False,True,False,True,False,False
trevorstory,False,False,False,True,False,False,True,False,False
kylestowers,False,False,False,False,False,True,True,False,False
tommyedman,False,False,True,False,False,True,True,False,False
robertgarcia,False,False,False,False,False,False,False,False,True
tjfriedl,False,False,False,False,False,True,True,False,False
mitchkeller,False,False,False,False,False,False,False,True,False
huntergaddis,False,False,False,False,False,False,False,False,True
robertstephenson,False,False,False,False,False,False,False,False,True
alexvesia,False,False,False,False,False,False,False,False,True
baileyober,False,False,False,False,False,False,False,True,False
luisrobertjr,False,False,False,False,False,True,True,False,False
tonysantillan,False,False,False,False,False,False,False,False,True
adolisgarcia,False,False,False,False,False,True,True,False,False
calvinfaucher,False,False,False,False,False,False,False,False,True
brycemiller,False,False,False,False,False,False,False,True,False
rileyobrien,False,False,False,False,False,False,False,False,True
miketrout,False,False,False,False,False,True,True,False,False
ernieclement,False,False,True,True,True,False,True,False,False
bradysinger,False,False,False,False,False,False,False,True,False
xanderbogaerts,False,False,False,True,False,False,True,False,False
trentgrisham,False,False,False,False,False,True,True,False,False
shawnarmstrong,False,False,False,False,False,False,False,False,True
alecburleson,False,True,False,False,False,True,True,False,False
