,name,name_ascii,fg_id,mlb_id,espn_id,tj_id
122,Robert Stephenson,Robert Stephenson,13594,596112,32134,robertstephenson
123,Nick Ramirez,Nick Ramirez,12575,598286,32140,nickramirez
124,Jason Adam,Jason Adam,11861,592094,32145,jasonadam
125,Marcus Semien,Marcus Semien,12533,543760,32146,marcussemien
126,Matt Barnes,Matt Barnes,12863,598264,32147,mattbarnes
127,Trevor Story,Trevor Story,12564,596115,32150,trevorstory
128,Tyler Anderson,Tyler Anderson,12880,542881,32151,tyleranderson
129,Scott Barlow,Scott Barlow,14993,605130,32156,scottbarlow
130,Adrian Houser,Adrian Houser,12718,605288,32157,adrianhouser
131,Brandon Nimmo,Brandon Nimmo,12927,607043,32159,brandonnimmo
132,Tyler Austin,Tyler Austin,11850,,32161,tyleraustin
133,Maikel Franco,Maikel Franco,12179,,32163,maikelfranco
134,Austin Hedges,Austin Hedges,12976,595978,32168,austinhedges
135,Robbie Ray,Robbie Ray,11486,592662,32175,robbieray
136,J.T. Realmuto,J.T. Realmuto,11739,592663,32177,jtrealmuto
137,Jake Diekman,Jake Diekman,5003,518617,32178,jakediekman
138,Blake Treinen,Blake Treinen,12572,595014,32185,blaketreinen
139,Michael A. Taylor,Michael A. Taylor,11489,572191,32219,michaelataylor
140,Yolmer Sanchez,Yolmer Sanchez,11602,,32264,yolmersanchez
141,Brandon Drury,Brandon Drury,11615,592273,32269,brandondrury
142,Jon Berti,Jon Berti,12037,542932,32273,jonberti
143,Jace Peterson,Jace Peterson,12325,607054,32323,jacepeterson
144,Nick Ahmed,Nick Ahmed,12147,605113,32355,nickahmed
145,Eugenio Suárez,Eugenio Suarez,12552,553993,32367,eugeniosuarez
146,Héctor Neris,Hector Neris,11804,593576,32377,hectorneris
147,Whit Merrifield,Whit Merrifield,11281,593160,32422,whitmerrifield
148,Caleb Thielbar,Caleb Thielbar,10078,573204,32440,calebthielbar
149,Chris Devenski,Chris Devenski,12763,606965,32511,chrisdevenski
150,Ketel Marte,Ketel Marte,13613,606466,32512,ketelmarte
151,Josh Bell,Josh Bell,13145,605137,32517,joshbell
152,Harold Castro,Harold Castro,14691,,32521,haroldcastro
153,Niko Goodrum,Niko Goodrum,12092,592348,32524,nikogoodrum
154,Jorge Polanco,Jorge Polanco,13152,593871,32525,jorgepolanco
155,Orlando Arcia,Orlando Arcia,13185,606115,32530,orlandoarcia
156,Jeimer Candelario,Jeimer Candelario,13621,600869,32531,jeimercandelario
157,Willson Contreras,Willson Contreras,11609,575929,32532,willsoncontreras
158,Matt Andriese,Matt Andriese,12022,542882,32549,mattandriese
159,Jorge Soler,Jorge Soler,14221,624585,32558,jorgesoler
160,Hyun Jin Ryu,Hyun Jin Ryu,14444,,32582,hyunjinryu
161,Hunter Strickland,Hunter Strickland,7836,519326,32589,hunterstrickland
162,Michael Tonkin,Michael Tonkin,10315,543859,32594,michaeltonkin
163,Alex Wood,Alex Wood,13781,622072,32620,alexwood
164,Kirby Yates,Kirby Yates,9073,489446,32623,kirbyyates
165,Rafael Montero,Rafael Montero,12760,606160,32631,rafaelmontero
166,Michael Wacha,Michael Wacha,14078,608379,32640,michaelwacha
167,Carlos Correa,Carlos Correa,14162,621043,32653,carloscorrea
168,Byron Buxton,Byron Buxton,14161,621439,32655,byronbuxton
169,Adam Duvall,Adam Duvall,10950,594807,32664,adamduvall
170,Kevin Gausman,Kevin Gausman,14107,592332,32667,kevingausman
171,Andrew Heaney,Andrew Heaney,15423,571760,32672,andrewheaney
172,Eduardo Rodriguez,Eduardo Rodriguez,13164,593958,32675,eduardorodriguez
173,T.J. McFarland,T.J. McFarland,3237,519008,32680,tjmcfarland
174,Joe Ross,Joe Ross,12972,605452,32684,joeross
175,Max Fried,Max Fried,13743,608331,32685,maxfried
176,Chase Anderson,Chase Anderson,6895,502624,32690,chaseanderson
177,Corey Seager,Corey Seager,13624,608369,32691,coreyseager
178,Lucas Giolito,Lucas Giolito,15474,608337,32697,lucasgiolito
179,David Dahl,David Dahl,13744,621311,32698,daviddahl
180,Gio Urshela,Gio Urshela,10681,570482,32721,giourshela
181,Jackson Stephens,Jackson Stephens,14420,623451,32736,jacksonstephens
182,Travis Jankowski,Travis Jankowski,13768,608671,32751,travisjankowski
183,Christian Walker,Christian Walker,13419,572233,32758,christianwalker
184,Josh Hader,Josh Hader,14212,623352,32760,joshhader
185,Lance McCullers Jr.,Lance McCullers Jr.,14120,621121,32764,lancemccullersjr
186,Matt Olson,Matt Olson,14344,621566,32767,mattolson
187,Mike Clevinger,Mike Clevinger,12808,605182,32769,mikeclevinger
188,Mitch Haniger,Mitch Haniger,14274,571745,32771,mitchhaniger
189,Paul Blackburn,Paul Blackburn,14739,621112,32776,paulblackburn
190,Pierce Johnson,Pierce Johnson,13435,572955,32777,piercejohnson
191,Tyrone Taylor,Tyrone Taylor,13675,621438,32783,tyronetaylor
192,Chris Stratton,Chris Stratton,13761,608717,32787,chrisstratton
193,Ross Stripling,Ross Stripling,13273,548389,32789,rossstripling
194,Jacob deGrom,Jacob deGrom,10954,594798,32796,jacobdegrom
195,Carson Kelly,Carson Kelly,13620,608348,32797,carsonkelly
196,José Ramírez,Jose Ramirez,13510,608070,32801,joseramirez
197,Zach Eflin,Zach Eflin,13774,621107,32804,zacheflin
198,Lucas Sims,Lucas Sims,13470,608371,32807,lucassims
199,Andrew Chafin,Andrew Chafin,12988,605177,32810,andrewchafin
200,José Berríos,Jose Berrios,14168,621244,32811,joseberrios
201,Marcus Stroman,Marcus Stroman,13431,573186,32815,marcusstroman
202,Joey Gallo,Joey Gallo,14128,608336,32818,joeygallo
203,Clay Holmes,Clay Holmes,13649,605280,32827,clayholmes
204,Jesse Winker,Jesse Winker,13590,608385,32833,jessewinker
205,Daniel Vogelbach,Daniel Vogelbach,14130,596129,32851,danielvogelbach
206,Austin Barnes,Austin Barnes,12158,605131,32856,austinbarnes
207,Kevin Pillar,Kevin Pillar,12434,607680,32859,kevinpillar
208,Patrick Wisdom,Patrick Wisdom,13602,621550,32861,patrickwisdom
209,Yimi García,Yimi Garcia,12095,554340,32888,yimigarcia
210,Chris Taylor,Chris Taylor,13757,621035,32900,christaylor
211,Chris Martin,Chris Martin,11847,455119,32903,chrismartin
212,Austin Nola,Austin Nola,15941,543592,32961,austinnola
213,Merrill Kelly,Merrill Kelly,11156,518876,32968,merrillkelly
214,Ildemaro Vargas,Ildemaro Vargas,13324,545121,32985,ildemarovargas
215,Chasen Shreve,Chasen Shreve,10855,592741,33014,chasenshreve
216,Joey Wendle,Joey Wendle,13853,621563,33017,joeywendle
217,Mookie Betts,Mookie Betts,13611,605141,33039,mookiebetts
218,Ryan Pressly,Ryan Pressly,7005,519151,33072,ryanpressly
219,Burch Smith,Burch Smith,12784,572143,33083,burchsmith
220,Luis García,Luis Garcia,6984,472610,33089,luisgarcia
221,José Abreu,Jose Abreu,15676,547989,33095,joseabreu
222,Joely Rodríguez,Joely Rodriguez,11487,570257,33104,joelyrodriguez
223,Steven Matz,Steven Matz,13361,571927,33106,stevenmatz
224,José Ureña,Jose Urena,11589,570632,33107,joseurena
225,Jesse Hahn,Jesse Hahn,13287,534910,33108,jessehahn
226,Scott Alexander,Scott Alexander,10591,518397,33123,scottalexander
227,Aaron Brooks,Aaron Brooks,12272,605156,33124,aaronbrooks
228,Ty Blach,Ty Blach,14361,621389,33138,tyblach
229,Derek Law,Derek Law,13133,571882,33139,dereklaw
230,Tyler Heineman,Tyler Heineman,13897,623168,33142,tylerheineman
231,Chris Bassitt,Chris Bassitt,12304,605135,33148,chrisbassitt
232,Dominic Leone,Dominic Leone,13763,608678,33155,dominicleone
233,Marco Gonzales,Marco Gonzales,15467,594835,33158,marcogonzales
234,Kris Bryant,Kris Bryant,15429,592178,33172,krisbryant
235,Kyle Hendricks,Kyle Hendricks,12049,543294,33173,kylehendricks
236,Anthony DeSclafani,Anthony DeSclafani,13050,543101,33180,anthonydesclafani
237,Tim Anderson,Tim Anderson,15172,641313,33184,timanderson
