tj_id,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e,total_25
raiseliglesias,456.29694,425.5,-30.796940000000006,440.89847,501.0,-44.703059999999994,479.2
brentondoyle,429.28729999999996,452.12194,22.834640000000036,440.70462,413.0,16.28729999999996,369.0
zacgallen,408.36905,469.0,60.630949999999984,438.684525,483.5,-75.13094999999998,463.0
juricksonprofar,439.91387,437.32555999999994,-2.5883100000000354,438.6197149999999,506.0,-66.08613000000003,308.0
jeffhoffman,446.46586,428.5,-17.96586000000002,437.48293,409.0,37.46586000000002,564.5
shealangeliers,433.81636000000003,437.44954,3.6331799999999816,435.63295000000005,441.0,-7.1836399999999685,454.0
nathaneovaldi,410.32784000000004,460.5,50.17215999999996,435.41392,422.5,-12.172159999999963,420.0
lawrencebutler,433.38824,435.50979,2.1215500000000134,434.44901500000003,492.0,-58.611760000000004,479.0
spencerstrider,426.1197599999999,440.5,14.380240000000072,433.30987999999996,461.0,-34.88024000000007,298.2
gavinwilliams,406.502115,459.0,52.497885,432.7510575,427.5,-20.997884999999997,463.3
emiliopagan,425.0298200000001,440.0,14.970179999999914,432.51491000000004,492.0,-66.97017999999991,503.8
robbieray,413.99342,450.0,36.006579999999985,431.99671,431.5,-17.506579999999985,479.2
mackenziegore,413.92521000000005,449.5,35.57478999999995,431.71260500000005,458.5,-44.57478999999995,369.8
salvadorperez,424.61517299999997,438.576098,13.960925000000032,431.59563549999996,450.0,-25.38482700000003,460.0
drewrasmussen,393.51063,469.5,75.98937000000001,431.505315,431.5,-37.98937000000001,402.0
jackflaherty,413.73378,447.5,33.766219999999976,430.61689,410.5,3.2337800000000243,401.5
petefairbanks,432.51704500000005,428.0,-4.517045000000053,430.2585225,455.5,-22.982954999999947,438.7
michaelharrisii,431.6416,427.75816000000003,-3.8834399999999505,429.69988,488.0,-56.35840000000002,450.0
christianwalker,427.66612999999995,431.00680900000003,3.3406790000000797,429.3364695,499.0,-71.33387000000005,460.0
jakobmarsee,441.99268,415.60624,-26.386439999999993,428.79946,516.0,-74.00731999999999,213.0
aaronnola,405.18582,450.5,45.31418000000002,427.84290999999996,384.5,20.68581999999998,207.2
spencerschwellenbach,419.502835,436.0,16.497164999999995,427.7514175,336.5,83.002835,311.8
brysonstott,425.64955,427.66464,2.0150900000000433,426.657095,437.0,-11.350450000000023,430.0
stevenkwan,444.86633000000006,408.34257,-36.52376000000004,426.60445000000004,479.0,-34.13366999999994,471.0
merrillkelly,425.63433999999995,426.5,0.8656600000000481,426.06717,434.5,-8.865660000000048,479.5
josesoriano,404.84518,447.0,42.15481999999997,425.92259,411.5,-6.654819999999972,389.5
blakesnell,401.61895499999997,450.0,48.38104500000003,425.80947749999996,469.5,-67.88104500000003,190.2
willsoncontreras,423.64801,425.0668099999999,1.4187999999999192,424.35740999999996,469.0,-45.35199,446.0
daultonvarsho,425.62083000000007,421.86654,-3.7542900000000827,423.743685,404.0,21.62083000000007,256.0
pablolopez,401.87170000000003,443.0,41.12829999999997,422.43585,0.0,401.87170000000003,207.3
miguelvargas,414.61659,429.76461,15.148020000000031,422.1906,419.0,-4.383410000000026,416.0
sandyalcantara,397.51733999999993,446.5,48.98266000000007,422.00866999999994,414.0,-16.482660000000067,381.8
jonathanaranda,421.257618,420.316306,-0.9413119999999822,420.786962,425.0,-3.7423820000000205,345.0
ryanwalker,408.25315,432.0,23.746849999999995,420.126575,369.5,38.753150000000005,331.7
alecburleson,420.87764000000004,418.89102099999997,-1.9866190000000756,419.88433050000003,430.0,-9.122359999999958,403.0
yuseikikuchi,395.42217000000005,442.0,46.57782999999995,418.711085,417.5,-22.07782999999995,393.2
nicohoerner,423.01777999999996,413.45268,-9.565099999999973,418.23523,475.0,-51.98222000000004,490.0
marcussemien,418.62104,417.77590999999995,-0.8451300000000401,418.198475,358.0,60.621039999999994,372.0
ozziealbies,422.21279000000004,412.45752999999996,-9.755260000000078,417.33516,452.0,-29.78720999999996,455.0
miketrout,411.7334900000001,417.15111999999993,5.4176299999998605,414.44230500000003,424.0,-12.266509999999926,434.0
luisrobertjr,413.38732500000003,411.15789000000007,-2.2294349999999667,412.27260750000005,424.0,-10.612674999999967,352.0
adolisgarcia,416.249891,407.181556,-9.06833499999999,411.71572349999997,445.0,-28.75010900000001,392.0
willsmith1,399.18571000000003,423.55273000000005,24.367020000000025,411.36922000000004,394.0,5.185710000000029,378.0
xanderbogaerts,405.78947,416.89876,11.109289999999987,411.344115,433.0,-27.210530000000006,400.0
jacksonholliday,410.33178,410.92683,0.5950500000000147,410.629305,453.0,-42.66822000000002,441.0
matthewboyd,395.67112,424.5,28.828880000000026,410.08556,408.0,-12.328880000000026,486.8
euryperez,387.884455,431.5,43.615545,409.6922275,354.0,33.884455,269.2
rangersuarez,416.83584,402.5,-14.335840000000019,409.66792,429.0,-12.164159999999981,431.2
kylemanzardo,413.2317299999999,405.04574099999996,-8.18598899999995,409.13873549999994,422.0,-8.768270000000086,391.0
dennissantana,394.036945,424.0,29.963054999999997,409.01847250000003,292.5,101.536945,351.7
trentgrisham,404.40592999999996,413.43,9.024070000000052,408.917965,384.0,20.405929999999955,482.0
bradysinger,399.12388999999996,418.0,18.87611000000004,408.561945,404.5,-5.37611000000004,454.3
shanebaz,385.7290600000001,430.5,44.77093999999988,408.11453000000006,365.5,20.229060000000118,403.2
ivanherrera,409.45648700000004,406.55487500000004,-2.901612,408.00568100000004,420.0,-10.543512999999962,374.0
mitchkeller,391.7973999999999,422.5,30.702600000000075,407.14869999999996,415.5,-23.702600000000075,364.7
brandonpfaadt,396.02526,418.0,21.974739999999997,407.01263,393.5,2.525260000000003,403.8
lukekeaschall,413.66931,399.55380999999994,-14.115500000000054,406.61155999999994,455.0,-41.330690000000004,186.0
brandonlowe,411.96258,398.81515,-13.147429999999986,405.388865,425.0,-13.037419999999997,450.0
ceddannerafaela,406.59966000000003,402.69402,-3.9056400000000053,404.64684,450.0,-43.40033999999997,449.0
abneruribe,358.917685,447.5,88.582315,403.2088425,284.5,74.417685,284.7
carlosrodon,391.88327999999996,414.0,22.116720000000043,402.94164,374.5,17.383279999999957,599.7
anthonysantander,405.280261,400.104397,-5.17586399999999,402.692329,181.0,224.280261,117.0
kylebradish,374.727165,430.5,55.772834999999986,402.6135825,411.0,-36.272834999999986,95.0
wilyerabreu,404.79411000000005,400.42491,-4.369200000000035,402.60951,416.0,-11.205889999999954,349.0
dylancrews,406.83373,398.14124,-8.69249000000002,402.487485,402.0,4.833730000000003,236.0
masynwinn,410.09429000000006,393.28314,-16.811150000000055,401.688715,407.0,3.0942900000000577,361.0
brandonwoodruff,394.77315000000004,407.5,12.726849999999956,401.136575,430.0,-35.226849999999956,228.3
mattmclain,397.91076,402.4866,4.575840000000028,400.19867999999997,422.0,-24.089240000000018,394.0
adleyrutschman,395.15392199999997,401.472672,6.318750000000023,398.313297,403.0,-7.846078000000034,225.0
ottolopez,390.62739999999997,401.76283,11.135430000000042,396.195115,423.0,-32.372600000000034,420.0
andrewabbott,392.455055,399.5,7.044944999999984,395.9775275,427.0,-34.544944999999984,436.7
quinnpriester,375.46991499999996,415.5,40.03008500000004,395.48495749999995,308.5,66.96991499999996,418.2
coltoncowser,395.39173999999997,393.40397600000006,-1.9877639999999133,394.39785800000004,444.0,-48.60826000000003,263.0
davidpeterson,375.42064500000004,409.5,34.079354999999964,392.4603225,379.5,-4.079354999999964,384.3
jakeburger,387.21907,396.911091,9.692021000000011,392.0650805,414.0,-26.780930000000012,264.0
jordanbeck,385.05676,398.69631,13.639549999999986,391.876535,426.0,-40.94324,424.0
nicklodolo,372.6053,410.0,37.3947,391.30264999999997,410.5,-37.8947,420.3
nolanmclean,394.81313,387.0,-7.813130000000001,390.906565,379.0,15.813130000000001,166.0
xavieredwards,400.11489000000006,381.31792,-18.796970000000044,390.716405,427.0,-26.88510999999994,421.0
nolanschanuel,404.25046,376.8342,-27.416259999999966,390.54233,378.0,26.250459999999975,386.0
kazumaokamoto,384.01157800000004,394.640248,10.628669999999943,389.325913,429.0,-44.98842199999996,0.0
jakecronenworth,385.7633900000001,392.49355,6.730159999999955,389.12847000000005,382.0,3.763390000000072,368.0
ramonlaureano,390.00797000000006,386.50572,-3.5022500000000605,388.256845,400.0,-9.992029999999943,431.0
alecbohm,391.84567999999996,382.871969,-8.97371099999998,387.35882449999997,366.0,25.84567999999996,340.0
trevorrogers,373.08207,401.5,28.417930000000013,387.29103499999997,382.0,-8.917930000000013,344.8
