tjid,fgId,NameASCII,org,pos,age,jersey
edwinuceta,20539,Edwin Uceta,TBR,RP,28,63
michaelharrisii,25931,Michael Harris II,ATL,OF,25,23
zacgallen,19291,Zac Gallen,FA,SP,30,23
christianwalker,13419,Christian Walker,HOU,1B,35,8
oneilcruz,21711,Oneil Cruz,PIT,OF,27,15
calebdurbin,29646,Caleb Durbin,MIL,3B,26,21
chaseburns,35333,Chase Burns,CIN,SP,23,26
brendandonovan,24679,Brendan Donovan,SEA,2B,29,33
camschlittler,32095,Cam Schlittler,NYY,SP,25,31
jeremypena,21636,Jeremy Pena,HOU,SS,28,3
rangersuarez,17277,Ranger Suarez,BOS,SP,30,55
joadell,20220,Jo Adell,LAA,OF,27,7
jackflaherty,17479,Jack Flaherty,DET,SP,30,9
huntergoodman,29715,Hunter Goodman,COL,C,26,15
shanebieber,19427,Shane Bieber,TOR,SP,31,57
salfrelick,29622,Sal Frelick,MIL,OF,26,10
granttaylor,33927,Grant Taylor,CHW,RP,24,31
jacobwilson,33266,Jacob Wilson,ATH,SS,24,5
mackenziegore,22201,MacKenzie Gore,TEX,SP,27,1
matthewboyd,15440,Matthew Boyd,CHC,SP,35,16
robbieray,11486,Robbie Ray,SFG,SP,34,38
andrewabbott,29911,Andrew Abbott,CIN,SP,27,41
jeremiahestrada,22210,Jeremiah Estrada,SDP,RP,27,56
alecbohm,21618,Alec Bohm,PHI,3B,29,28
cjabrams,25768,CJ Abrams,WSN,SS,25,5
luisgarciajr,20391,Luis Garcia Jr.,WSN,2B,26,2
lukekeaschall,33321,Luke Keaschall,MIN,2B,23,15
tannerscott,17586,Tanner Scott,LAD,RP,31,66
dennissantana,17878,Dennis Santana,PIT,RP,30,60
sandyalcantara,18684,Sandy Alcantara,MIA,SP,30,22
nolanmclean,33703,Nolan McLean,NYM,SP,24,26
mattbrash,25756,Matt Brash,SEA,RP,28,47
roycelewis,20437,Royce Lewis,MIN,3B,27,23
aaronnola,16149,Aaron Nola,PHI,SP,33,27
brandonlowe,18882,Brandon Lowe,PIT,2B,31,5
drewrasmussen,25385,Drew Rasmussen,TBR,SP,30,57
chandlersimpson,31912,Chandler Simpson,TBR,OF,25,14
maxmuncy,13301,Max Muncy,LAD,3B,35,13
trevorrogers,22286,Trevor Rogers,BAL,SP,28,28
merrillkelly,11156,Merrill Kelly,ARI,SP,37,29
ceddannerafaela,24262,Ceddanne Rafaela,BOS,OF,25,3
junghoolee,33824,Jung Hoo Lee,SFG,OF,27,51
garrettwhitlock,20191,Garrett Whitlock,BOS,RP,30,22
shanebaz,22264,Shane Baz,BAL,SP,27,34
xavieredwards,22266,Xavier Edwards,MIA,2B,26,9
treyyesavage,35456,Trey Yesavage,TOR,SP,22,39
zachneto,31347,Zach Neto,LAA,SS,25,9
jordanleasure,29950,Jordan Leasure,CHW,RP,27,49
dansbyswanson,18314,Dansby Swanson,CHC,SS,32,7
jakobmarsee,31370,Jakob Marsee,MIA,OF,25,87
mattshaw,33322,Matt Shaw,CHC,3B,24,6
lukeweaver,16918,Luke Weaver,NYM,RP,32,30
andrewkittredge,12828,Andrew Kittredge,BAL,RP,36,39
troymelton,31807,Troy Melton,DET,RP,25,52
krisbubic,21455,Kris Bubic,KCR,SP,28,50
alejandrokirk,22581,Alejandro Kirk,TOR,C,27,30
kerrycarpenter,25961,Kerry Carpenter,DET,OF,28,30
kylefinnegan,15009,Kyle Finnegan,DET,RP,34,67
noahcameron,30184,Noah Cameron,KCR,SP,26,65
philmaton,18064,Phil Maton,CHC,RP,33,88
marcellozuna,10324,Marcell Ozuna,FA,DH,35,20
mattstrahm,13799,Matt Strahm,KCR,RP,34,25
cadehorton,31872,Cade Horton,CHC,SP,24,22
miguelvargas,20178,Miguel Vargas,CHW,3B,26,20
edwardcabrera,21690,Edward Cabrera,CHC,SP,28,30
camilodoval,21992,Camilo Doval,NYY,RP,28,75
jorgepolanco,13152,Jorge Polanco,NYM,DH,32,11
daultonvarsho,19918,Daulton Varsho,TOR,OF,29,5
noelvimarte,26517,Noelvi Marte,CIN,OF,24,4
adrianmorejon,20039,Adrian Morejon,SDP,RP,27,50
bubbachandler,29868,Bubba Chandler,PIT,SP,23,57
stevenmatz,13361,Steven Matz,TBR,RP,35,41
daylenlile,29995,Daylen Lile,WSN,OF,23,4
wilyerabreu,23772,Wilyer Abreu,BOS,OF,27,52
heliotramos,22515,Heliot Ramos,SFG,OF,26,17
joseferrer,24017,Jose Ferrer,SEA,RP,26,45
connellyearly,33666,Connelly Early,BOS,SP,24,71
bradkeller,15734,Brad Keller,PHI,RP,30,40
josesoriano,22100,Jose Soriano,LAA,SP,27,59
lawrencebutler,22542,Lawrence Butler,ATH,OF,25,4
jakecronenworth,18036,Jake Cronenworth,SDP,2B,32,9
carlosrodon,16137,Carlos Rodon,NYY,SP,33,55
jojoromero,19574,JoJo Romero,STL,RP,29,59
spencertorkelson,27465,Spencer Torkelson,DET,1B,26,20
garrettcleavinger,17897,Garrett Cleavinger,TBR,RP,32,60
nolanarenado,9777,Nolan Arenado,ARI,3B,35,28
trevorstory,12564,Trevor Story,BOS,SS,33,10
kylestowers,26151,Kyle Stowers,MIA,OF,28,28
tommyedman,19470,Tommy Edman,LAD,2B,31,25
robertgarcia,23363,Robert Garcia,TEX,RP,30,62
tjfriedl,19522,TJ Friedl,CIN,OF,30,29
mitchkeller,17594,Mitch Keller,PIT,SP,30,23
huntergaddis,25636,Hunter Gaddis,CLE,RP,28,33
robertstephenson,13594,Robert Stephenson,LAA,RP,33,24
alexvesia,25007,Alex Vesia,LAD,RP,30,51
baileyober,21224,Bailey Ober,MIN,SP,30,17
luisrobertjr,20043,Luis Robert Jr.,NYM,OF,28,88
tonysantillan,19926,Tony Santillan,CIN,RP,29,64
adolisgarcia,19287,Adolis Garcia,PHI,OF,33,53
calvinfaucher,20116,Calvin Faucher,MIA,RP,30,53
brycemiller,29837,Bryce Miller,SEA,SP,27,50
