tjid,NameASCII,fgId,Name,Org,Pos,PlayerId,Age,_merge
florencioserrano,Florencio Serrano,sa3010124,,,,,,left_only
blaketownsend,Blake Townsend,sa3010125,,,,,,left_only
wooyoungjin,Woo Young Jin,sa3010132,,,,,,left_only
danielcope,Daniel Cope,sa3010157,,,,,,left_only
ripkenreyes,Ripken Reyes,sa3010159,,,,,,left_only
jarodbayless,Jarod Bayless,sa3010236,,,,,,left_only
garvinalston,Garvin Alston,sa3010238,,,,,,left_only
connorvanscoyoc,Connor Van Scoyoc,sa3010243,,,,,,left_only
nickfraze,Nick Fraze,sa3010250,,,,,,left_only
austinroberts,Austin Roberts,sa3010254,,,,,,left_only
andrewbash,Andrew Bash,sa3010259,,,,,,left_only
kellenstrahm,Kellen Strahm,sa3010278,,,,,,left_only
jasonblanchard,Jason Blanchard,sa3010313,,,,,,left_only
jakewalkinshaw,Jake Walkinshaw,sa3010317,,,,,,left_only
trevorboone,Trevor Boone,sa3010336,,,,,,left_only
dariushill,Darius Hill,sa3010395,,,,,,left_only
ryanshreve,Ryan Shreve,sa3010555,,,,,,left_only
benanderson,Ben Anderson,sa3010560,,,,,,left_only
daltonroach,Dalton Roach,sa3010567,,,,,,left_only
cooperjohnson,Cooper Johnson,sa3010584,,,,,,left_only
randylabaut,Randy Labaut,sa3010615,,,,,,left_only
brandonkomar,Brandon Komar,sa3010630,,,,,,left_only
cadebunnell,Cade Bunnell,sa3010702,,,,,,left_only
morganmcsweeney,Morgan McSweeney,sa3010781,,,,,,left_only
fineasdelbontasmith,Fineas Del Bonta-Smith,sa3010821,,,,,,left_only
justinyeager,Justin Yeager,sa3010825,,,,,,left_only
bradleyhanner,Bradley Hanner,sa3010837,,,,,,left_only
chasestrumpf,Chase Strumpf,sa3010845,,,,,,left_only
austinbergner,Austin Bergner,sa3011122,,,,,,left_only
danieljuarez,Daniel Juarez,sa3011139,,,,,,left_only
sethshuman,Seth Shuman,sa3011187,,,,,,left_only
ryangarcia,Ryan Garcia,sa3011190,,,,,,left_only
willholland,Will Holland,sa3011204,,,,,,left_only
alecgamboa,Alec Gamboa,sa3011249,,,,,,left_only
aidananderson,Aidan Anderson,sa3011250,,,,,,left_only
jasebowen,Jase Bowen,sa3011267,,,,,,left_only
jackralston,Jack Ralston,sa3011296,,,,,,left_only
toddpeterson,Todd Peterson,sa3011334,,,,,,left_only
hanselmarcelino,Hansel Marcelino,sa3011376,,,,,,left_only
philclarke,Phil Clarke,sa3011379,,,,,,left_only
drewparrish,Drew Parrish,sa3011395,,,,,,left_only
