,name,name_ascii,fg_id,MLBAMID,espn_id,tj_id
195,Ty Floyd,Ty Floyd,sa3031488,,4719514,tyfloyd
196,Miguel Bleis,Miguel Bleis,sa3016834,,4720888,miguelbleis
197,Jacob Gonzalez,Jacob Gonzalez,sa3022498,,4720990,jacobgonzalez
199,Cayden Wallace,Cayden Wallace,sa3019996,,4721026,caydenwallace
201,Levi Wells,Levi Wells,sa3023441,,4721046,leviwells
202,Cooper Bowman,Cooper Bowman,sa3016966,,4721314,cooperbowman
203,Yordys Valdes,Yordys Valdes,sa3010037,,4722850,yordysvaldes
204,Milan Tolentino,Milan Tolentino,sa3014544,,4722856,milantolentino
205,Jorge Rodriguez,Jorge Rodriguez,sa3040989,,4722880,jorgerodriguez
207,Marco Raya,Marco Raya,sa3014550,,4722894,marcoraya
209,Blaze Jordan,Blaze Jordan,sa3014537,,4722953,blazejordan
210,Ivan Johnson,Ivan Johnson,sa1169627,,4722954,ivanjohnson
211,Angel Felipe,Angel Felipe,21163,,4722956,angelfelipe
212,Antonio Gomez,Antonio Gomez,sa3008746,,4722970,antoniogomez
214,Javier Vaz,Javier Vaz,sa3019906,,4723144,javiervaz
216,Jacob Berry,Jacob Berry,sa3019825,,4751529,jacobberry
220,Brayden Taylor,Brayden Taylor,sa3022921,,4826610,braydentaylor
221,Aaron Zavala,Aaron Zavala,sa3017665,,4832161,aaronzavala
224,Brock Jones,Brock Jones,sa3020190,,4837415,brockjones
226,Cal Conley,Cal Conley,sa3017080,,4838352,calconley
229,Colin Houck,Colin Houck,sa3022964,,4870825,colinhouck
231,Benny Montgomery,Benny Montgomery,sa3017169,,4872657,bennymontgomery
233,Kahlil Watson,Kahlil Watson,sa3017513,,4872684,kahlilwatson
235,Cooper Kinney,Cooper Kinney,sa3017793,,4872697,cooperkinney
237,Nate Webb,Nate Webb,sa918814,,4905883,natewebb
239,Jorge Juan,Jorge Juan,sa3005826,,4905924,jorgejuan
240,Jacob Steinmetz,Jacob Steinmetz,sa3017976,,4917629,jacobsteinmetz
241,Luis Gonzalez,Luis Gonzalez,sa550522,,4917644,luisgonzalez
242,Pablo Aliendo,Pablo Aliendo,sa3006220,,4917682,pabloaliendo
243,Yohendrick Pinango,Yohendrick Pinango,sa3009539,,4917684,yohendrickpinango
244,Ed Howard,Ed Howard,sa3014540,,4917687,edhoward
245,Kevin Made,Kevin Made,sa3014679,,4917688,kevinmade
246,Cristian Hernandez,Cristian Hernandez,sa3015696,,4917689,cristianhernandez
249,Roberto Campos,Roberto Campos,sa3014683,,4917801,robertocampos
250,Shane Panzini,Shane Panzini,sa3018257,,4917811,shanepanzini
251,Ben Kudrna,Ben Kudrna,sa3018253,,4917813,benkudrna
252,Alexander Ramirez,Alexander Ramirez,sa3008757,,4917817,alexanderramirez
253,Alejandro Hidalgo,Alejandro Hidalgo,sa3015151,,4917821,alejandrohidalgo
254,Mason Albright,Mason Albright,sa3017847,,4917823,masonalbright
255,Peter Heubeck,Peter Heubeck,sa3017936,,4917831,peterheubeck
256,Jose Salas,Jose Salas,sa3014690,,4917851,josesalas
257,Yiddi Cappe,Yiddi Cappe,sa3015515,,4917852,yiddicappe
258,Dalvy Rosario,Dalvy Rosario,sa3005712,,4917857,dalvyrosario
260,Hendry Mendez,Hendry Mendez,sa3015727,,4917874,hendrymendez
262,Brock Selvidge,Brock Selvidge,sa3017950,,4917904,brockselvidge
263,Anthony Garcia,Anthony Garcia,sa3059268,,4917912,anthonygarcia
264,Cameron Cauley,Cameron Cauley,sa3017167,,4917917,cameroncauley
265,Ryan Spikes,Ryan Spikes,sa3017792,,4917931,ryanspikes
266,Christian McGowan,Christian McGowan,sa3017896,,4918067,christianmcgowan
268,Michael Morales,Michael Morales,sa3017783,,4918164,michaelmorales
269,Anthony Solometo,Anthony Solometo,sa3018259,,4918238,anthonysolometo
270,Brandon Valenzuela,Brandon Valenzuela,sa3005729,,4918248,brandonvalenzuela
271,Euribiel Angeles,Euribiel Angeles,sa3008877,,4918250,euribielangeles
272,Victor Lizarraga,Victor Lizarraga,sa3015220,,4918253,victorlizarraga
273,Samuel Zavala,Samuel Zavala,sa3015718,,4918254,samuelzavala
275,Edwin Arroyo,Edwin Arroyo,sa3017626,,4919919,edwinarroyo
276,Aeverson Arteaga,Aeverson Arteaga,sa3014707,,4919923,aeversonarteaga
279,Carson DeMartini,Carson DeMartini,sa3025198,,4923349,carsondemartini
281,Ben Hess,Ben Hess,sa3033725,,4924721,benhess
283,James Tibbs III,James Tibbs III,sa3025333,,4925860,jamestibbsiii
284,Kyle DeBarge,Kyle DeBarge,sa3025260,,4926370,kyledebarge
285,Blake Burke,Blake Burke,sa3025381,,4927515,blakeburke
289,Ethan Pecko,Ethan Pecko,sa3022997,,4944276,ethanpecko
290,Vance Honeycutt,Vance Honeycutt,sa3025526,,4949081,vancehoneycutt
292,Walker Janek,Walker Janek,sa3025254,,4952502,walkerjanek
293,Mike Sirota,Mike Sirota,sa3042374,,4956819,mikesirota
294,Caleb Lomavita,Caleb Lomavita,sa3025404,,4959034,caleblomavita
295,Skylar Hales,Skylar Hales,sa3022739,,4976773,skylarhales
296,Miguel Palma,Miguel Palma,sa3009279,,4987798,miguelpalma
298,Micah Pries,Micah Pries,sa3014830,,4991144,micahpries
300,Michael Gomez,Michael Gomez,sa3008454,,4993421,michaelgomez
301,Christian Cairo,Christian Cairo,sa3010028,,4995352,christiancairo
302,Kolton Ingram,Kolton Ingram,26068,,4997628,koltoningram
303,Shohei Tomioka,Shohei Tomioka,sa3014808,,5001292,shoheitomioka
306,Griff O'Ferrall,Griff O'Ferrall,sa3025409,,5007720,griffoferrall
308,Tanner Murray,Tanner Murray,sa3016805,,5012115,tannermurray
309,T.J. Rumfield,T.J. Rumfield,sa3017330,,5014349,tjrumfield
313,Carlos Jorge,Carlos Jorge,sa3016722,,5017075,carlosjorge
317,Brody Brecht,Brody Brecht,sa3027632,,5061178,brodybrecht
318,Brycen Mautz,Brycen Mautz,sa3020710,,5067321,brycenmautz
