name,pos_string,player_mlb_org,player_age,abbrev,contract_type,contract_years,contract_dollars,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e
Brandon Valenzuela,C/UTIL,,,,,,,0.0,10.3579594,0.0,0.0,0.0,0.0
Thayron Liranzo,C/UTIL,,,SF,aa,,0.0,,,,,,
Blake Hunt,C/UTIL,,,,,,,0.0,6.4761977,0.0,0.0,0.0,0.0
Rodolfo Duran,C/UTIL,,,,,,,0.0,7.0929915,0.0,0.0,0.0,0.0
Brett Sullivan,C/UTIL,COL,32.0,,,,,0.0,8.8364795,0.0,0.0,0.0,0.0
Chadwick Tromp,C/UTIL,ATL,31.0,,,,,27.7062291,26.03402,-1.6722091,26.87012455,0.0,27.7062291
Ethan Salas,C/UTIL,,,RW,aa,,0.0,,,,,,
Jose Herrera,C/UTIL,TEX,29.0,,,,,12.4928056,11.9640026,-0.5288029999999999,12.2284041,0.0,12.4928056
Jair Camargo,C/UTIL,,,,,,,,,,,,
Rene Pinto,C/UTIL,,,,,,,,,,,,
Jakson Reetz,C/UTIL,,,,,,,,,,,,
Christian Bethancourt,C/UTIL,,,,,,,,,,,,
Seby Zavala,C/UTIL,,,,,,,,,,,,
Andy Yerzy,C/UTIL,,,,,,,,,,,,
Kevin Parada,C/UTIL,,,,,,,,,,,,
Blake Mitchell,C/UTIL,,,,,,,,,,,,
Brian Serven,C/UTIL,,,,,,,,,,,,
Abrahan Gutierrez,C/UTIL,,,,,,,,,,,,
Ali Sanchez,C/UTIL,NYY,29.0,,,,,,,,,,
Bryan Lavastida,C/UTIL,,,,,,,,,,,,
Logan Porter,C/UTIL,SFG,30.0,,,,,,,,,,
Diego Cartaya,C/UTIL,,,,,,,,,,,,
Carlos Perez,C/UTIL,,,,,,,,,,,,
Logan Driscoll,C/UTIL,,,,,,,,,,,,
Sam Huff,C/UTIL,BAL,28.0,,,,,0.0,7.827470659999999,0.0,0.0,0.0,0.0
Eric Haase,C/UTIL,SFG,33.0,,,,,0.0,10.0299462,0.0,0.0,0.0,0.0
Blake Sabol,C/UTIL,TBR,28.0,,,,,0.0,10.532741,0.0,0.0,0.0,0.0
Francisco Mejia,C/UTIL,,,,,,,,,,,,
Andrew Knapp,C/UTIL,,,,,,,,,,,,
Caleb Knight,C/UTIL,,,,,,,0.0,1.92029,0.0,0.0,0.0,0.0
Chris Okey,C/UTIL,,,,,,,,,,,,
Pablo Aliendo,C/1B/UTIL,,,,,,,,,,,,
