name,pos_string,player_mlb_org,player_age,abbrev,contract_type,contract_years,contract_dollars,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e
Eury Perez,SP,MIA,23.0,YB,aa,,0.0,387.884455,431.5,43.615545,409.6922275,354.0,33.884455
Emmet Sheehan,SP,LAD,26.0,,,,,374.79255,394.0,19.207449999999994,384.396275,350.0,24.79255000000001
Joey Cantillo,SP/RP,CLE,26.0,,,,,312.52578,327.0,14.474220000000004,319.76289,348.5,-35.97422
Cam Schlittler,SP,NYY,25.0,,,,,337.909225,347.0,9.090775000000008,342.4546125,346.5,-8.590775000000008
Slade Cecconi,SP,CLE,27.0,,,,,313.9567200000001,354.0,40.043279999999925,333.97836000000007,341.5,-27.543279999999925
Cade Horton,SP,CHC,24.0,ORl,aa,,0.0,319.26238500000005,339.0,19.73761499999995,329.1311925,341.5,-22.23761499999995
Mike Burrows,SP,HOU,26.0,,,,,296.574345,329.5,32.925655000000006,313.0371725,338.5,-41.925655000000006
Bryce Miller,SP,SEA,27.0,MJ,arb1,,0.0,344.360105,369.0,24.639895000000024,356.6800525,338.0,6.360104999999976
Braxton Garrett,SP,,,,,,,267.70252,287.5,19.797480000000007,277.60126,337.0,-69.29748000000001
Spencer Schwellenbach,SP,ATL,26.0,BS,contract,2.0,6.25,419.502835,436.0,16.497164999999995,427.7514175,336.5,83.002835
Patrick Corbin,SP,FA,36.0,,,,,255.81986,298.5,42.68014000000002,277.15993,334.5,-78.68014000000002
Justin Verlander,SP,FA,43.0,RW,aaa_opt,1.0,0.0,265.42815500000006,331.0,65.57184499999994,298.21407750000003,334.0,-68.57184499999994
Dean Kremer,SP,BAL,30.0,SF,aaa_opt,1.0,0.0,350.056975,344.0,-6.056974999999966,347.0284875,324.5,25.55697499999997
Roki Sasaki,SP,LAD,24.0,WCS,aa,,0.0,271.80825500000003,270.0,-1.808255000000031,270.9041275,324.5,-52.69174499999997
Luis Gil,SP,NYY,28.0,YB,aa,,0.0,236.12583,205.0,-31.12582999999998,220.562915,318.5,-82.37417000000002
Andre Pallante,SP,STL,27.0,DET,aaa_opt,1.0,0.0,272.89487500000007,313.5,40.60512499999993,293.19743750000004,318.0,-45.10512499999993
Grayson Rodriguez,SP,,,MJ,arb1,,0.0,302.87442,361.0,58.125580000000014,331.93721,318.0,-15.125580000000014
Zach Eflin,SP,BAL,32.0,,,,,318.599175,315.0,-3.5991750000000025,316.79958750000003,315.0,3.5991750000000025
Kodai Senga,SP,NYM,33.0,,,,,288.61938000000004,271.0,-17.619380000000035,279.80969000000005,315.0,-26.380619999999965
Matthew Liberatore,SP,STL,26.0,,,,,313.486735,332.0,18.51326499999999,322.7433675,314.5,-1.01326499999999
Trey Yesavage,SP,TOR,22.0,,,,,346.73457999999994,399.5,52.76542000000006,373.11729,313.5,33.23457999999994
Gerrit Cole,SP,,,ORl,contract,1.0,2.2,287.49593500000003,357.5,70.00406499999997,322.4979675,313.0,-25.50406499999997
Miles Mikolas,SP,FA,37.0,ORl,aaa_opt,1.0,0.0,259.76978999999994,277.0,17.230210000000056,268.384895,310.5,-50.730210000000056
Shane Bieber,SP,TOR,31.0,RW,contract,3.0,1.0,314.66666000000004,352.0,37.33333999999997,333.33333000000005,309.0,5.666660000000036
Quinn Priester,SP,MIL,25.0,,,,,375.469915,415.5,40.03008500000004,395.4849575,308.5,66.96991499999996
Foster Griffin,SP,,,,,,,295.80119,351.5,55.69881000000004,323.65059499999995,304.0,-8.198810000000037
Reynaldo Lopez,SP,ATL,32.0,MJ,contract,1.0,2.01,286.927145,312.0,25.072855000000004,299.4635725,303.0,-16.072855000000004
Adrian Houser,SP,SFG,33.0,,,,,281.9609088,319.5,37.53909120000003,300.7304544,302.5,-20.53909120000003
Logan Allen,SP,CLE,27.0,BS,pre_arb,1.0,1.0,250.25667,229.5,-20.756669999999986,239.878335,302.0,-51.743330000000014
Jameson Taillon,SP,CHC,34.0,,,,,355.72393,354.5,-1.2239299999999955,355.111965,301.0,54.72393
Casey Mize,SP,DET,29.0,RW,contract,3.0,1.0,353.40736,387.0,33.59264000000002,370.20368,298.5,54.90735999999998
Kyle Freeland,SP,COL,33.0,,,,,306.315985,351.0,44.68401499999999,328.6579925,296.5,9.815985000000012
Davis Martin,SP,CHW,29.0,DCT,aaa_opt,1.0,0.0,297.930135,333.0,35.06986499999999,315.46506750000003,296.0,1.930135000000007
Taj Bradley,SP,MIN,25.0,BS,pre_arb,2.0,1.0,267.99292,271.0,3.0070799999999736,269.49646,294.5,-26.507079999999974
Andrew Painter,SP,,,WCS,contract,10.0,1.05,212.350555,263.0,50.649445000000014,237.6752775,294.5,-82.14944500000001
Logan Henderson,SP,MIL,24.0,,,,,311.810495,328.5,16.689504999999997,320.1552475,293.5,18.310495000000003
Michael Lorenzen,SP,COL,34.0,BS,aaa_opt,1.0,0.0,273.366025,226.0,-47.36602499999998,249.6830125,293.0,-19.63397500000002
Tyler Anderson,SP,LAA,36.0,DCT,aaa_opt,1.0,0.0,223.762605,275.5,51.73739500000002,249.6313025,293.0,-69.23739500000002
Cristian Javier,SP,HOU,29.0,CS,aa,,0.0,315.55578,329.5,13.944219999999971,322.52789,291.0,24.555780000000027
Max Scherzer,SP,FA,41.0,,,,,220.86199,320.5,99.63801,270.680995,290.5,-69.63801000000001
JP Sears,SP,SDP,30.0,ORl,aaa_opt,1.0,0.0,295.443295,266.0,-29.443294999999974,280.7216475,288.5,6.943294999999978
Simeon Woods Richardson,SP,MIN,25.0,WCS,aaa_opt,1.0,0.0,271.152645,252.0,-19.152645000000007,261.5763225,287.0,-15.847354999999991
Zebby Matthews,SP,MIN,26.0,CS,contract,4.0,1.0,298.247755,292.0,-6.247754999999984,295.1238775,285.5,12.747754999999984
Shane McClanahan,SP,,,SF,arb2,,0.0,319.66133,361.5,41.83866999999998,340.580665,285.0,34.66133000000002
Hurston Waldrep,SP,ATL,24.0,BS,aa,,0.0,303.033205,339.0,35.96679499999999,321.0166025,284.5,18.53320500000001
Ryne Nelson,SP/RP,ARI,28.0,BS,pre_arb,1.0,1.0,360.3297600000001,405.5,45.17023999999992,382.91488,283.5,76.82976000000008
Chris Paddack,SP,FA,30.0,,,,,195.302737,235.0,39.69726300000002,215.1513685,283.0,-87.69726300000002
Dustin May,SP,STL,28.0,BS,aa,,0.0,309.2042,310.0,0.7957999999999856,309.6021,283.0,26.20420000000001
Sean Burke,SP,CHW,26.0,YB,aaa_opt,1.0,0.0,315.368165,348.0,32.631835000000024,331.6840825,281.5,33.868164999999976
Johan Oviedo,SP,BOS,28.0,,,,,239.22268000000005,248.5,9.277319999999976,243.86134,281.0,-41.777319999999975
Jared Jones,SP,,,YB,pre_arb,1.0,1.0,210.814745,242.0,31.18525500000004,226.4073725,280.5,-69.68525500000004
Jake Irvin,SP,WSN,29.0,DET,aaa_opt,1.0,0.0,280.286465,258.0,-22.28646500000002,269.1432325,280.0,0.286465000000021
Grant Holmes,SP,ATL,30.0,DCT,contract,1.0,1.0,200.058585,188.5,-11.558585000000022,194.2792925,278.5,-78.44141499999998
